idna_subject,checker_type,destination,source,tested_at,session_id
0127538a552.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.541281,1d1f71c797b69a2aeb10e192
01dbf3a452b6.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.543968,1d1f71c797b69a2aeb10e192
00aaa2d81c1d174.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.557755,1d1f71c797b69a2aeb10e192
006a039c957c142bb.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.664087,1d1f71c797b69a2aeb10e192
012469af389a1d1246d.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.700809,1d1f71c797b69a2aeb10e192
00ae8b5a9c1d597.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.700419,1d1f71c797b69a2aeb10e192
048d36793b8.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.772831,1d1f71c797b69a2aeb10e192
02b5da94a2bd4aea.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.780464,1d1f71c797b69a2aeb10e192
02aa19117f396e9.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.780325,1d1f71c797b69a2aeb10e192
039ad0897e6da.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.782023,1d1f71c797b69a2aeb10e192
050y9lhe8p.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.782448,1d1f71c797b69a2aeb10e192
06dd0894cce50c.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.860330,1d1f71c797b69a2aeb10e192
05xz0h2xo799.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.865182,1d1f71c797b69a2aeb10e192
059e025e7484.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:06.957585,1d1f71c797b69a2aeb10e192
05ee3a24ed11df058c8.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.011710,1d1f71c797b69a2aeb10e192
06f09b1008ae993a5a.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.011925,1d1f71c797b69a2aeb10e192
07fe665dd33f.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.055135,1d1f71c797b69a2aeb10e192
0926a687679d337e9d.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.108443,1d1f71c797b69a2aeb10e192
0956228a2df97a.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.216621,1d1f71c797b69a2aeb10e192
0b19222804.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.290885,1d1f71c797b69a2aeb10e192
0b9d84d93f1b.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:28:07.455140,1d1f71c797b69a2aeb10e192
04426f8b7ce9b069431.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:14.851704,1d1f71c797b69a2aeb10e192
0cf40a2064ce2.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:14.951554,1d1f71c797b69a2aeb10e192
0d20bff8143.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:15.021030,1d1f71c797b69a2aeb10e192
0dbcf515975d.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:15.245354,1d1f71c797b69a2aeb10e192
0dc3c6535c5.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:15.312815,1d1f71c797b69a2aeb10e192
0e6fc55ed3d4c2c2ba0.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:15.372263,1d1f71c797b69a2aeb10e192
0f461325bf56c3e1b9.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:15.451885,1d1f71c797b69a2aeb10e192
0gw7e6s3wrao9y3q.pro,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:16.837775,1d1f71c797b69a2aeb10e192
0h6djpk8fn.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:17.881272,1d1f71c797b69a2aeb10e192
0klxjejyxak3.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:17.956229,1d1f71c797b69a2aeb10e192
0oaqgsk54hm5.com,AVAILABILITY,easylist_adservers.txt,/storage01/repos/github/dns-test/EasyList/easylist_adservers.txt,2021-01-29 03:30:18.036210,1d1f71c797b69a2aeb10e192
